link;title;year count;mean;median;mode; mode frequency;standard deviation;1st Quartile;3rd Quartile;IQR;minimum value;maximum value;filter min;filter max
https://plato.stanford.edu/entries/abduction/;Abduction ;238;1997;1999;1994;13;16;1989;2009;20;1912;2017;1200;2020
https://plato.stanford.edu/entries/abelard/;Peter Abelard ;110;1983;1988;2004;15;33;1976;2004;28;1849;2018;1200;2020
https://plato.stanford.edu/entries/abhidharma/;Abhidharma ;101;1994;1997;2004;13;16;1991;2004;13;1941;2018;1200;2020
https://plato.stanford.edu/entries/abilities/;Abilities ;196;1988;2000;2020;17;44;1978;2011;33;1748;2020;1200;2020
https://plato.stanford.edu/entries/abner-burgos/;Abner of Burgos ;61;1854;1984;2020;5;271;1961;2010;49;1260;2020;1200;2020
https://plato.stanford.edu/entries/abrabanel/;Judah Abrabanel ;80;1796;1971;1983;8;245;1521;1992;471;1304;2016;1200;2020
https://plato.stanford.edu/entries/abstract-objects/;Abstract Objects ;93;1975;1986;XXXX;XXXX;47;1975;1997;22;1690;2020;1200;2020
https://plato.stanford.edu/entries/action/;Action ;208;1994;1998;2000;17;14;1987;2005;18;1962;2016;1200;2020
https://plato.stanford.edu/entries/action-perception/;Action-based Theories of Perception ;484;1952;1979;XXXX;XXXX;82;1928;2004;76;1228;2020;1200;2020
https://plato.stanford.edu/entries/actualism/;Actualism ;153;1980;1983;1985;11;22;1973;1995;22;1903;2016;1200;2020
https://plato.stanford.edu/entries/actualism-possibilism-ethics/;Actualism and Possibilism in Ethics ;276;1990;1993;XXXX;XXXX;45;1976;2011;35;1509;2020;1200;2020
https://plato.stanford.edu/entries/adaptationism/;Adaptationism ;288;1993;1996;2003;19;15;1985;2004;19;1930;2016;1200;2020
https://plato.stanford.edu/entries/addams-jane/;Jane Addams ;116;1945;1965;2002;9;61;1894;2002;108;1795;2018;1200;2020
https://plato.stanford.edu/entries/adorno/;Theodor W. Adorno ;183;1987;1995;1998;11;24;1970;2005;35;1903;2016;1200;2020
https://plato.stanford.edu/entries/advance-directives/;Advance Directives and Substitute Decision-Making ;32;1998;1999;1999;6;7;1993;2004;11;1986;2016;1200;2020
https://plato.stanford.edu/entries/aesthetic-concept/;The Concept of the Aesthetic ;235;1947;1987;1995;13;92;1958;2002;44;1711;2020;1200;2020
https://plato.stanford.edu/entries/aesthetics-19th-romantic/;19th Century Romantic Aesthetics ;181;1946;1991;XXXX;XXXX;83;1882;2002;120;1760;2016;1200;2020
https://plato.stanford.edu/entries/aesthetic-judgment/;Aesthetic Judgment ;157;1961;1994;XXXX;XXXX;74;1965;2001;36;1757;2019;1200;2020
https://plato.stanford.edu/entries/aesthetics-18th-british/;18th Century British Aesthetics ;187;1840;1794;1879;23;107;1757;1964;207;1711;2020;1200;2020
https://plato.stanford.edu/entries/environmental-aesthetics/;Environmental Aesthetics ;728;2002;2008;2018;55;34;1998;2014;16;1214;2020;1200;2020
https://plato.stanford.edu/entries/aesthetics-existentialist/;Existentialist Aesthetics ;303;1954;1960;1948;26;75;1946;1977;31;1207;2019;1200;2020
https://plato.stanford.edu/entries/aesthetics-18th-french/;18th Century French Aesthetics ;179;1789;1748;1751;8;116;1714;1877;163;1581;2019;1200;2020
https://plato.stanford.edu/entries/aesthetics-18th-german/;18th Century German Aesthetics ;513;1881;1928;2006;12;119;1769;1996;227;1451;2020;1200;2020
https://plato.stanford.edu/entries/aesthetics-of-everyday/;Aesthetics of the Everyday ;676;2008;2012;2017;74;15;2004;2016;12;1757;2019;1200;2020
https://plato.stanford.edu/entries/affirmative-action/;Affirmative Action ;475;1979;2001;2004;30;105;1982;2007;25;1217;2018;1200;2020
https://plato.stanford.edu/entries/africana/;Africana Philosophy ;410;1942;1974;1995;21;72;1900;1995;95;1600;2019;1200;2020
https://plato.stanford.edu/entries/african-ethics/;African Ethics ;69;1970;1968;1954;14;21;1954;1984;30;1920;2016;1200;2020
https://plato.stanford.edu/entries/african-sage/;African Sage Philosophy ;72;1981;1983;1968;6;18;1968;1995;27;1938;2016;1200;2020
https://plato.stanford.edu/entries/afterlife/;Afterlife ;140;1993;1999;2010;9;26;1982;2010;28;1845;2020;1200;2020
https://plato.stanford.edu/entries/agency/;Agency ;444;1992;2000;2003;35;47;1987;2008;21;1317;2019;1200;2020
